1000 4000
569 464 494
520 362 318
167 767 365
642 23 329
102 288 366
906 395 4
744 795 304
127 895 436
967 517 498
816 809 178
858 66 215
385 273 208
948 577 262
710 156 209
528 280 369
760 445 38
466 169 370
598 498 214
852 282 342
830 144 68
399 874 146
886 590 384
497 67 95
148 514 441
101 346 191
371 49 318
543 453 180
8 391 178
141 3 420
55 825 228
654 787 95
407 367 26
53 956 82
96 308 1
608 112 298
302 608 351
802 743 157
252 335 271
927 439 324
162 161 374
132 549 323
761 476 394
451 775 23
118 999 352
384 692 160
861 306 28
297 548 229
876 979 438
224 671 286
146 598 417
646 692 288
103 399 334
763 143 117
987 159 258
286 42 144
899 577 108
782 978 223
254 569 185
687 697 449
250 718 170
920 349 49
123 853 9
913 92 364
843 151 288
54 478 367
173 788 276
387 163 117
115 861 311
280 807 86
699 278 357
368 28 24
333 140 419
667 686 445
707 656 464
141 602 143
879 638 302
906 626 366
970 855 80
512 982 372
352 254 203
652 919 38
850 994 94
0 970 415
175 559 471
299 968 144
597 396 7
288 263 389
750 859 292
708 137 32
686 39 315
165 628 183
630 352 42
518 636 256
706 213 326
304 325 335
506 608 350
95 424 478
974 41 311
910 117 320
366 238 89
400 182 437
377 783 46
597 371 352
449 263 56
855 308 108
161 512 54
101 154 19
2 819 322
882 930 183
376 608 175
197 298 497
858 676 72
638 417 463
293 429 470
547 381 488
908 685 241
546 222 324
375 292 423
276 137 338
867 945 88
162 625 333
273 847 73
204 713 195
965 811 275
479 417 191
463 270 118
630 545 270
53 173 179
103 693 213
147 399 254
410 624 74
860 620 470
399 110 161
580 32 345
173 673 296
23 290 180
952 308 378
341 286 494
182 674 66
724 135 112
929 283 500
23 706 199
16 955 449
98 98 33
360 719 160
588 174 8
187 707 249
986 209 262
386 779 106
636 505 140
267 267 278
459 493 414
618 31 448
78 131 404
658 191 489
862 630 106
896 113 303
80 665 299
615 454 487
251 649 263
843 540 350
924 240 361
358 356 18
340 736 33
492 393 186
828 213 258
335 455 130
174 660 289
810 349 263
113 70 118
412 721 147
879 865 355
664 975 37
912 189 442
487 276 63
747 876 101
763 394 224
488 214 218
914 893 3
755 237 92
765 169 396
679 731 468
970 31 132
139 184 470
862 956 303
652 771 106
565 345 255
975 426 283
662 137 188
26 560 330
609 796 348
655 179 383
712 800 423
754 534 280
549 563 429
765 149 482
636 399 193
822 189 411
378 127 138
530 336 382
495 427 349
25 844 245
140 810 117
909 619 57
451 115 232
890 320 264
220 270 179
316 697 452
935 657 265
913 460 487
779 505 87
763 181 128
271 914 42
902 829 118
718 121 447
726 191 190
351 238 156
994 414 312
740 989 271
14 181 222
790 536 65
392 92 335
121 105 203
335 509 192
249 701 355
821 291 468
761 411 77
638 369 220
771 351 343
47 459 19
992 381 55
72 821 129
670 733 271
305 202 432
835 269 271
606 183 460
300 26 400
927 902 136
408 988 102
140 892 210
724 182 230
381 602 402
802 83 197
900 397 115
106 45 248
444 214 132
442 820 166
110 17 467
616 87 343
805 915 0
571 960 244
50 838 334
115 859 484
248 246 26
303 757 23
348 886 130
928 393 196
770 214 422
416 241 376
442 590 36
97 316 281
512 630 412
529 408 69
630 619 370
526 363 475
565 705 136
454 731 300
752 811 335
844 69 308
17 510 69
162 316 427
315 227 34
189 706 224
710 453 471
988 926 320
775 4 333
508 797 268
598 670 5
372 679 248
803 5 9
817 477 211
454 743 360
206 5 374
432 111 436
50 270 221
651 86 15
518 121 449
175 779 233
601 452 177
741 312 339
840 999 45
708 737 400
144 519 336
549 245 125
49 424 360
787 932 477
886 492 328
221 870 465
442 428 146
50 154 240
945 962 182
913 351 247
407 144 74
63 293 437
824 243 148
670 629 40
689 348 463
992 515 135
771 957 53
776 288 388
78 365 490
548 34 355
583 887 297
